荠菜,4.00,4.25,4.50,水菜,斤,2021-05-21
荆芥,2.00,2.50,3.00,水菜,斤,2021-05-21
紫苏叶,4.50,4.75,5.00,水菜,斤,2021-05-21
豌豆苗,4.00,4.25,4.50,水菜,斤,2021-05-21
快菜,0.80,1.00,1.20,水菜,斤,2021-05-21
苦菊,2.00,2.25,2.50,水菜,斤,2021-05-21
穿心莲,2.00,2.25,2.50,水菜,斤,2021-05-21
木耳菜,2.00,2.50,3.00,水菜,斤,2021-05-21
乒乓球葡萄,10.00,11.00,12.00,葡萄类,斤,2021-05-21
维多利亚葡萄,8.00,8.50,9.00,葡萄类,斤,2021-05-21
郁金香,10.00,11.00,12.00,葡萄类,斤,2021-05-21
台农小芒果,2.50,3.25,4.00,芒果类,斤,2021-05-21
台农大芒果,3.00,4.00,5.00,芒果类,斤,2021-05-21
红金龙,4.00,5.00,6.00,芒果类,斤,2021-05-21
高乐密,2.50,3.75,5.00,芒果类,斤,2021-05-21
青皮芒果,2.50,3.25,4.00,芒果类,斤,2021-05-21
水仙芒果,3.50,4.75,6.00,芒果类,斤,2021-05-21
肯特新世纪澳芒,5.00,6.50,8.00,芒果类,斤,2021-05-21
妃子笑,7.00,8.50,10.00,荔枝类,斤,2021-05-21
江米面（水磨）,3.50,3.55,3.60,杂粮类,斤,2021-05-20
江米面,2.90,3.20,3.50,杂粮类,斤,2021-05-20
荞麦面,3.00,3.50,4.00,杂粮类,斤,2021-05-20
莜麦面,3.00,3.25,3.50,杂粮类,斤,2021-05-20
大麦,2.00,2.25,2.50,杂粮类,斤,2021-05-20
燕麦,3.00,3.00,3.00,杂粮类,斤,2021-05-20
黄豆,4.00,4.25,4.50,豆类,斤,2021-05-20
绿豆,4.50,5.00,5.50,豆类,斤,2021-05-20
红小豆,6.00,6.50,7.00,豆类,斤,2021-05-20
青豆,4.00,4.75,5.50,豆类,斤,2021-05-20
黑豆,4.00,5.25,6.50,豆类,斤,2021-05-20
白芸豆,8.00,8.50,9.00,豆类,斤,2021-05-20
红芸豆,5.50,6.00,6.50,豆类,斤,2021-05-20
猫眼豆,5.00,5.50,6.00,豆类,斤,2021-05-20
青豌豆,3.00,3.25,3.50,豆类,斤,2021-05-20
蚕豆,4.50,5.00,5.50,豆类,斤,2021-05-20
奶花豆,5.00,5.75,6.50,豆类,斤,2021-05-20
花生米,7.00,7.50,8.00,豆类,斤,2021-05-20
豇豆,5.00,5.25,5.50,豆类,斤,2021-05-20
油桃,4.00,6.50,9.00,桃李杏类,斤,2021-05-21
蟠桃,10.00,12.50,15.00,桃李杏类,斤,2021-05-21
水蜜桃,10.00,12.00,14.00,桃李杏类,斤,2021-05-21
春雪,8.00,9.00,10.00,桃李杏类,斤,2021-05-21
黄油桃,4.00,6.00,8.00,桃李杏类,斤,2021-05-21
黄毛桃,10.00,11.50,13.00,桃李杏类,斤,2021-05-21
猕猴桃（徐香翠香）,2.50,3.00,3.50,桃李杏类,斤,2021-05-21
猕猴桃（海沃德）,2.00,2.25,2.50,桃李杏类,斤,2021-05-21
李子,8.00,10.00,12.00,桃李杏类,斤,2021-05-21
金太阳,2.50,4.75,7.00,桃李杏类,斤,2021-05-21
丰源红,2.90,3.45,4.00,桃李杏类,斤,2021-05-21
凯特杏、白杏,10.00,10.50,11.00,桃李杏类,斤,2021-05-21
无籽小号-大号,1.80,1.90,2.00,西瓜类,斤,2021-05-21
麒麟、甜蜜蜜,2.40,2.60,2.80,西瓜类,斤,2021-05-21
黑美人,1.60,1.80,2.00,西瓜类,斤,2021-05-21
特小风,2.00,2.20,2.40,西瓜类,斤,2021-05-21
L600吊秧瓜,2.50,2.90,3.30,西瓜类,斤,2021-05-21
甜王,1.40,1.65,1.90,西瓜类,斤,2021-05-21
蜜童,3.00,3.25,3.50,西瓜类,斤,2021-05-21
绿豆芽,0.95,0.98,1.00,普通,斤,2021-05-21
黄豆芽,0.85,0.88,0.90,普通,斤,2021-05-21
紫菜苔,3.00,3.25,3.50,普通,斤,2021-05-21
